ID,Kapitel,Kapitelrubrik,Titel,Tema,Spår,Komponentnivå,Svårighetsgrad,Byggtid,Kodnivå,Wow-faktor,Komponenter,Beroenden,Illustrationsbehov,Textstatus,Kodstatus,Breadboardtest,Illustrationsstatus,Teknisk granskning,Pedagogisk granskning,Layoutstatus,Slutstatus,Kommentar
E011,2,"LED, PWM och färg",RGB: tre färger i en LED,Färger,Huvudspår,Baslåda,Upptäckare,20–25 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L02",E008,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,v92: första fullständiga utkastet skapat. Aktivt nästa steg i Kapitel 2 efter E008.
E012,2,"LED, PWM och färg",Färgblandaren,Färger,Huvudspår,Baslåda,Uppfinnare,25–35 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L02",E011,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,v96: lätt pedagogisk/bildmässig puts. setColor() introduceras tidigare; E012-D barnvänligare; analogWrite()/LEDC-beslut kvarstår för teknisk granskning.
E013,2,"LED, PWM och färg",Regnbågslampan,Färger,Huvudspår,Baslåda,Uppfinnare,30–40 min,Nybörjare,★★★★☆,"E01, B01, B02, R01, L02",E012,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,"v98: lätt pedagogisk/bildmässig puts. Texten matchar stegvis färgsekvens bättre; E013-C/D bildputsade. Kvar: fysisk test, teknisk/pedagogisk granskning och PDF-layout."
E014,2,"LED, PWM och färg",Humörlampan,Färger,Huvudspår,Baslåda,Uppfinnare,25–35 min,Nybörjare,★★★★☆,"E01, B01, B02, R01, L02",E012,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,"v100: lätt pedagogisk/bildmässig puts. Magi ersatt med favorit/favoritläge; E014-C/D bildputsade. Kvar: fysisk test, teknisk/pedagogisk granskning och PDF-layout."
E015,2,"LED, PWM och färg",Dimbar LED,Lampor och ljus,Huvudspår,Baslåda,Uppfinnare,20–30 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E001,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,"v102: lätt pedagogisk/bildmässig puts. E015 tydligare som förenkling av E012; E015-D barnvänligare PWM-bild. Kvar: fysisk test, teknisk/pedagogisk granskning och PDF-layout."
E016,2,"LED, PWM och färg",Andande ljus,Lampor och ljus,Huvudspår,Baslåda,Uppfinnare,25–35 min,Nybörjare,★★★★☆,"E01, B01, B02, R01, L01",E015,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Utkast,"v104: lätt pedagogisk/bildmässig puts. Andas-språk mildrat; E016-C/D bildputsade. Kvar: fysisk test, teknisk/pedagogisk granskning och PDF-layout."
E017,2,"LED, PWM och färg",Nattlampa första versionen,Smarta ljus,Huvudspår,Baslåda,Uppfinnare,30–40 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01, S01",E015,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E018,2,"LED, PWM och färg",Ljusmätaren i Seriell monitor,Mäta ljus,Huvudspår,Baslåda,Uppfinnare,20–30 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, S01",E017,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E019,3,Knappar och styrning,Ljusstyrd dimmer,Smarta ljus,Huvudspår,Baslåda,Ingenjör,30–45 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, S01","E015, E018",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E020,3,Knappar och styrning,Soluppgångslampan,Smarta ljus,Huvudspår,Baslåda,Ingenjör,35–45 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01",E016,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E021,3,Knappar och styrning,Blink utan delay,Lampor och ljus,Huvudspår,Baslåda,Ingenjör,30–40 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01",E002,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E022,3,Knappar och styrning,Två saker samtidigt,Lampor och ljus,Huvudspår,Baslåda,Ingenjör,35–45 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01",E021,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E023,3,Knappar och styrning,Mini-ljusshow,Lampor och ljus,Huvudspår,Baslåda,Ingenjör,40–50 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, L02","E008, E013",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E024,3,Knappar och styrning,Statuslampan,Smarta ljus,Huvudspår,Baslåda,Ingenjör,30–40 min,Grund,★★★★☆,"E01, B01, B02, R01, L02",E014,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E025,3,Knappar och styrning,Designa din egen ljusuppfinning,Eget projekt,Huvudspår,Baslåda,Mästare,45–60 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, L02, S01",E001–E024,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E026,3,Knappar och styrning,Knappen tänder lampan,Knappar,Huvudspår,Baslåda,Upptäckare,15–25 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01",E001,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E027,3,Knappar och styrning,Omvänd knapp med INPUT_PULLUP,Knappar,Huvudspår,Baslåda,Upptäckare,20–30 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01",E026,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E028,3,Knappar och styrning,Tryckräknaren,Knappar,Huvudspår,Baslåda,Uppfinnare,25–35 min,Grund,★★★☆☆,"E01, B01, B02, K01",E027,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E029,3,Knappar och styrning,Lampan minns,Knappar,Huvudspår,Baslåda,Uppfinnare,25–35 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01",E027,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E030,3,Knappar och styrning,Tryck rätt färg,Knappar och färger,Huvudspår,Baslåda,Uppfinnare,30–40 min,Grund,★★★★☆,"E01, B01, B02, R01, L02, K01","E014, E026",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E031,3,Knappar och styrning,Dubbelknappen,Knappar,Huvudspår,Baslåda,Uppfinnare,25–35 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01",E026,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E032,3,Knappar och styrning,Mini-kodlåset,Knappar och spel,Huvudspår,Baslåda,Ingenjör,40–55 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, L02, K01","E028, E031",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E033,4,"Ljud, spel och reaktion",Passiv buzzer första tonen,Ljud,Huvudspår,Baslåda,Upptäckare,15–20 min,Grund,★★★☆☆,"E01, B01, B02, A01",E001,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E034,4,"Ljud, spel och reaktion",Sirenen,Ljud,Huvudspår,Baslåda,Uppfinnare,20–30 min,Grund,★★★☆☆,"E01, B01, B02, A01, L01, R01",E033,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E035,4,"Ljud, spel och reaktion",Morse med ljud,Ljud,Huvudspår,Baslåda,Uppfinnare,30–40 min,Grund,★★★☆☆,"E01, B01, B02, A01, K01","E010, E033",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E036,4,"Ljud, spel och reaktion",Mini-pianot med knappar,Ljud och musik,Huvudspår,Baslåda,Uppfinnare,35–45 min,Grund,★★★☆☆,"E01, B01, B02, A01, K01","E031, E033",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E037,4,"Ljud, spel och reaktion",Melodimaskinen,Ljud och musik,Huvudspår,Baslåda,Uppfinnare,30–45 min,Grund,★★★★☆,"E01, B01, B02, A01",E033,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E038,4,"Ljud, spel och reaktion",Knappstyrd jukebox,Ljud och musik,Huvudspår,Baslåda,Ingenjör,40–55 min,Grund,★★★★☆,"E01, B01, B02, A01, K01, L02, R01","E029, E037",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E039,4,"Ljud, spel och reaktion",Elektronisk tärning med LED,Spel,Huvudspår,Baslåda,Uppfinnare,35–45 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, K01","E028, E007",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E040,4,"Ljud, spel och reaktion",Tärning i Seriell monitor,Spel,Huvudspår,Baslåda,Upptäckare,20–30 min,Grund,★★★☆☆,"E01, B01, B02, K01",E028,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E041,4,"Ljud, spel och reaktion",Reaktionsspelet v1,Spel,Huvudspår,Baslåda,Ingenjör,40–55 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, K01","E021, E028",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E042,4,"Ljud, spel och reaktion",Reaktionsspelet med ljud,Spel,Huvudspår,Baslåda,Ingenjör,45–60 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, K01, A01","E041, E033",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E043,4,"Ljud, spel och reaktion",Snabbast av två,Spel,Huvudspår,Baslåda,Ingenjör,45–60 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01, A01",E042,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E044,4,"Ljud, spel och reaktion",Simon Says v1,Spel,Huvudspår,Baslåda,Ingenjör,50–70 min,Grund,★★★★★,"E01, B01, B02, R01, L01, K01, A01","E036, E039",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E045,4,"Ljud, spel och reaktion",Gissa ljusmönstret,Spel,Huvudspår,Baslåda,Uppfinnare,35–45 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01","E008, E039",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E046,4,"Ljud, spel och reaktion",Nedräknaren,Tid och spel,Huvudspår,Baslåda,Uppfinnare,25–35 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, A01",E034,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E047,4,"Ljud, spel och reaktion",Bomben tickar,Tid och spel,Bonus,Baslåda,Ingenjör,45–60 min,Grund,★★★★☆,"E01, B01, B02, R01, L01, K01, A01","E021, E046",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E048,4,"Ljud, spel och reaktion",Poänglampan,Spel,Bonus,Baslåda,Uppfinnare,30–40 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, K01",E028,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E049,4,"Ljud, spel och reaktion",Spelkontroll för framtida projekt,Knappar,Bonus,Baslåda,Ingenjör,35–45 min,Grund,★★★☆☆,"E01, B01, B02, K01",E031,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E050,4,"Ljud, spel och reaktion",Designa ditt eget knapp- och ljudspel,Eget projekt,Bonus,Baslåda,Mästare,60–90 min,Grund,★★★☆☆,"E01, B01, B02, R01, L01, L02, K01, A01",E026–E049,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E051,5,"Ljus, avstånd och de första mätinstrumenten",Ljusdetektiven,Mäta ljus,Huvudspår,Baslåda,Upptäckare,20–30 min,Mellan,★★★☆☆,"E01, B01, B02, R01, S01",E018,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E052,5,"Ljus, avstånd och de första mätinstrumenten",Skuggjakten,Mäta ljus,Huvudspår,Baslåda,Uppfinnare,25–35 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, S01","E017, E051",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E053,5,"Ljus, avstånd och de första mätinstrumenten",Ljusbarometern,Mäta ljus,Huvudspår,Baslåda,Ingenjör,35–45 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, S01",E051,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E054,5,"Ljus, avstånd och de första mätinstrumenten",Avstånd i Seriell monitor,Avstånd,Huvudspår,Baslåda,Upptäckare,25–35 min,Mellan,★★★☆☆,"E01, B01, B02, S02",E021,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E055,5,"Ljus, avstånd och de första mätinstrumenten",Parkeringssensorn v1,Avstånd,Huvudspår,Baslåda,Uppfinnare,35–50 min,Mellan,★★★★☆,"E01, B01, B02, R01, L01, A01, S02","E034, E054",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E056,5,"Ljus, avstånd och de första mätinstrumenten",Avståndslampan,Avstånd,Huvudspår,Baslåda,Uppfinnare,30–45 min,Mellan,★★★★☆,"E01, B01, B02, R01, L02, S02","E024, E054",Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E057,5,"Ljus, avstånd och de första mätinstrumenten",Osynliga måttbandet,Avstånd,Bonus,Baslåda,Ingenjör,35–45 min,Mellan,★★★☆☆,"E01, B01, B02, S02",E054,Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E058,6,"Larm, rörelse och närvaro",Dörrvakten,Magnet och larm,Huvudspår,Baslåda,Uppfinnare,30–45 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, A01, S04",E035,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E059,6,"Larm, rörelse och närvaro",Hemlig skattlåda – sensorversion,Magnet och larm,Huvudspår,Baslåda,Ingenjör,40–55 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L02, A01, S04","E032, E058",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E060,6,"Larm, rörelse och närvaro",Skaklarmet,Lutning och rörelse,Huvudspår,Baslåda,Uppfinnare,30–45 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, A01, S03",E047,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E061,6,"Larm, rörelse och närvaro",Lutningsspelet,Lutning och spel,Huvudspår,Baslåda,Ingenjör,40–55 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, S03",E060,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E062,6,"Larm, rörelse och närvaro",Temperatur i rummet,Temperatur,Huvudspår,Pluslåda,Upptäckare,25–35 min,Mellan,★★★☆☆,"E01, B01, B02, S05",E051,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E063,6,"Larm, rörelse och närvaro",Väderstation första versionen,Temperatur,Huvudspår,Pluslåda,Uppfinnare,40–55 min,Mellan,★★★★☆,"E01, B01, B02, S05, D01",E062,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E064,6,"Larm, rörelse och närvaro",Varmt eller kallt?,Temperatur,Huvudspår,Pluslåda,Uppfinnare,35–45 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L02, S05","E024, E062",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E065,6,"Larm, rörelse och närvaro",Temperaturjämförelsen,Temperatur,Huvudspår,Pluslåda,Ingenjör,45–60 min,Mellan,★★★☆☆,"E01, B01, B02, S05, S06",E062,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E066,6,"Larm, rörelse och närvaro",Vattentemperatur-testet,Temperatur,Bonus,Pluslåda,Ingenjör,40–55 min,Mellan,★★★☆☆,"E01, B01, B02, R01, S06",E065,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E067,6,"Larm, rörelse och närvaro",Rörelsevakten,Rörelsesensor,Huvudspår,Pluslåda,Uppfinnare,35–50 min,Mellan,★★★★☆,"E01, B01, B02, R01, L01, A01, S07",E058,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E068,6,"Larm, rörelse och närvaro",Spökhuset,Rörelsesensor,Huvudspår,Pluslåda,Ingenjör,45–60 min,Mellan,★★★★★,"E01, B01, B02, R01, L02, A01, S07","E067, E034",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E069,7,"Temperatur, miljö och levande mätningar",Smart blomkruka v1,Jordfukt,Huvudspår,Pluslåda,Uppfinnare,35–50 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, S08",E051,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E070,7,"Temperatur, miljö och levande mätningar",Växtvakten med statusfärg,Jordfukt,Huvudspår,Pluslåda,Ingenjör,40–55 min,Mellan,★★★★☆,"E01, B01, B02, R01, L02, S08","E069, E024",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E071,7,"Temperatur, miljö och levande mätningar",Ljudnivå i Seriell monitor,Ljudsensor,Huvudspår,Pluslåda,Upptäckare,25–35 min,Mellan,★★★☆☆,"E01, B01, B02, S09",E051,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E072,7,"Temperatur, miljö och levande mätningar",Klappströmbrytaren,Ljudsensor,Huvudspår,Pluslåda,Ingenjör,40–55 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, S09","E029, E071",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E073,7,"Temperatur, miljö och levande mätningar",Ljusorgel första versionen,Ljudsensor,Bonus,Pluslåda,Ingenjör,45–60 min,Mellan,★★★★☆,"E01, B01, B02, R01, L01, L02, S09","E071, E023",Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
E074,7,"Temperatur, miljö och levande mätningar",Sensorlaboratoriet,Mätning,Huvudspår,Pluslåda,Mästare,60–90 min,Mellan,★★★☆☆,"E01, B01, B02, R01, L01, L02, S01, S02, S05",E051–E073,Medel,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Planerad,
